Term,Synonyms,Definition
corallinaceous,,"resembling a coralline alga in structure. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coralline,,"primarily referring to lime-encrusted or calcareous red algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coralloid,,"having slender, erect, nearly straight branches. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cordate,,"heart-shaped. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
core,,"central tissue or central filaments that generally run parallel to the surface (see also medulla). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coriaceous,,"leathery. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corneous,,"made of a horn or horn-like substance, similar to that of horns or hooves of some mammals. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cornute,,"horned, like a crown with horns; also pointed or spiny. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corona,coronae,"in the characeae, a group of tiny cells at the tip of a branchlet formed by reduction of the end cell and bract cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
coronula,,"in characeae, a miniature ""crown"" at the upper end of an oogonium; the end cells that enclose and cover the oogonium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corrugate,,"having small wrinkles or folds. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cortex,,"collective term for filaments derived from subepithallial initials, occurring externally to the medulla (fig.2c) and running more or less at right angles to the thallus surface; in monomerous plants (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
cortical band,,"ring of periaxial cells, with varying amounts of cortical tissue, formed around nodes (e.g. in ceramium). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
cortical disc,,"thick white disc shed by some conceptacles; in melobesioideae; cf. veil (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
corticate,corticated | cortical,"with an outer covering of cells, rhizoids, or filaments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corticated,,"having a cortex (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
corticating band,,"a nodal band in some species of ceramiaceae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corymb,corymbose,"a flat-topped cluster of branches. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
corymbose,,"with reproductive bodies borne at same level (fig.17c) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
cosmopolitan,,"widely distributed in all or most oceans of the world. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
costa,,"an elongate central thickening to a branch; a midrib. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
costate,,"with a costa or midrib. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
cover cell,,"a cell cut off by a pericentral cell (e.g., polysiphonia); also used to describe the epithelium in crustose coralline alga. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crenate ,,"blade margins with rounded, forward-pointing teeth; also having scalloped margins. crisp (crisped). curled up near margins; crinkled, curled, undulate. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crozier,,"a recurved hook-shaped branch tip (a shepherd's hooked staff). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cruciate,,"division of a tetrasporangium where the first and second cleavages are perpendicular to each other. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crust,,"a thin, closely adherent outwardly radiating thallus, pseudoparenchymatous in structure with laterally adjoined basal and erect filaments. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
crust ,crustose,"a thallus with a 2-dimensional prostrate layer growing on a substratum. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crustose,,"resembling a crust; said of thalli. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
cryptic species,,"genetically and sexually distinct species that cannot be recognized on the basis of morphology. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cryptogamic,,"means hidden reproduction, referring to the fact that no seed is produced; thus, cryptogams represent the non-seed-bearing plants. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cryptostomata,,"small pit or flask-shaped structures in brown algal blades, which often contain sterile hairs that extend to the surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
crystoliths,,"cells containing distinctive calcium carbonate crystals; also intracellular biogenetic amorphous calcium carbonate. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cucullate,,"hooded, like a monk's cowl. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
cuneate,,"wedge-shaped. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
cuticle,,"a transparent layer on the outer surface of some seaweeds. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cyst,,"an asexual resting stage or a thick-walled cell with dense protoplasm that germinates to form a new individual; also a sac, bladder-like cell, or cavity. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cystocarp,,"the carposporophyte and accessory enveloping tissue (pericarp) of the female gametophyte in the florideophyceae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cytokinesis,,"vegetative division of the cytoplasm during mitosis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
cytoplasm,,"living cell material. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
deciduous,,"loss of branches, usually seasonally. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
decumbent,,"growing horizontally but with extremities curving upward. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
decussate,,"lateral branches occur in opposite pairs and each pair is at 90° to those above and below to form a 4-ranked vertical appearance. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
deltoid,,"triangular, with approximately equal sides. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
dendroid,,"tree-like, as a result of lower branches not developing or falling away; in spermatangial systems (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
dentate,,"with marginal teeth. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
dentate ,denticulate,"with toothed margins or tooth-like projections. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
denuded,,"left bare following loss of lateral branches. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
determinate,,"axes with limited growth potential (e.g., branchlets). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
diaphragm,,"a thin partition of cells across a hollow space (see also septa). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dichotomic splitting,,"decay during burial results in progressive separation of a thallus to form moss-like carpets in fucoid algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dichotomous,,repeatedly divided into 2. (source: Hiscock Brown).
dichotomous ,dichotomy,"with 2 equal branches at each fork. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dichotomy,,"division by means of an apical cell so that forked branching occurs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
diffuse ,growth,"growth in almost any part of the thallus, not localised. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
diffuse growth,,"cell divisions without a distinct meristem. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
digitate,,"blades partially divided like the fingers of a hand. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dimerous,,"a type of thallus construction involving two sets of filaments (basal and erect) more or less at right angles to one another (fig.2a); cf. monomerous (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
dimorphic,,"occurring in two morphological forms. (also = heteromorphic). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
dimorphous ,dimorphic,"having 2 different forms or features. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dinoflagellate,,"a unicellular, usually planktonic but sometimes benthic, organism with 2 flagella (as in the phylum dinophyta). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dioecious,,"male and female gametangia on separate thalli. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
diplohaplontic,,"with separate multicellular diploid (sporophyte) and haploid (gametophyte) generations. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
diploid,,"with two sets of chromosomes in each nucleus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
diploidisation,,"formation of a diploid thallus by other than normal fertilisation. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
diploidization,,"becoming diploid, usually by fusion of two haploid gametes (syngamy). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
diplont ,diplontic,"a life history in which the alga is diploid with gametes being the only haploid cells. direct life history. reproduction of the same phase of a potential life history by means of asexual spores, vegetative propagation, or propagules. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
diplontic,,"when the diploid phase is prominent and the haploid phase consists only of the gametes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
direct ,life history,"reproduction of the same phase of the (potential) life history by means of asexual spores, or propagules. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
disc,,"a thin, closely adherent, often circular thallus, comprising outwardly radiating, laterally adjoined, usually synchronously extending filaments, monostromatic, or at least partly distromatic, in structure. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
disc ,discoid,"a rounded, flat, adherent thallus with radiating filaments. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
discoid,,"shaped like a solid disc that is flat and roughly circular. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
discrete,,"individually distinct; cf. confluent (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
disposal cell,,"cell cut off from auxiliary cell during post-fertilization development that contains a haploid nucleus (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
distal,,"directed away from the base of a thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
distichous,,"arranged in two opposite rows. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
distichous ,distichous branching,"branching in 2 rows or ranks on opposite sides of an axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
distromatic,,"composed of two layers of similar cells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
divaricate,,"widely spreading (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
divergent,,"spreading at a moderate angle; said of branching. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
division,,"the highest taxonomic rank for taxa in the plant kingdom (see phylum). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
dorsal,,"upper; cf. ventral (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
dorsiventral,,"with distinct upper (ventral) and lower (dorsal) sides. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
drift,,"unattached macrophytes in the water or loose lying. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ecad,,"a morphological variant of an alga that is often given a name. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ecoform,,"a form of a species considered to be ecologically based. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ecorticate,,"lacking a cortex or covering cells; the opposite of corticated. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ecostate,,"without a costa or midrib. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ectocarpoid,,"having a structure which resembles that of ectocarpus; said of thalli which comprise erect, branched filaments, and plurilocular sporangia which are siliquose and multiseriate. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
eelgrass,,"the common name for the seagrass zostera marina, a marine and estuarine flowering plant. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
egg,,"a nonmotile female gamete that is normally larger than a sperm. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
elachistoid,,"forming dense tufts, with free filaments above, similar to those of elachista. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
ellipsoid,,"a solid of elliptic shape. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
elliptic,,"shaped like an ellipse; oval with regularly rounded ends (in 2 dimensions). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
elliptical,,"regularly oval (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
elwst,,"extreme low water level of spring tides. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
embedded,,"to be fixed into a surrounding mass or surrounded tightly or firmly (i.e., enveloped or enclosed). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
embryo,,"a young multicellular organism, derived from the zygote or a spore, before differentiation into the mature organism. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
emendatus ,,"a latin term meaning ""changed"" and used before the name of an author who changed the description of a taxon without excluding its type. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endemism,,"restriction of the distribution of a taxon to a particular geographical region. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
endogenous,,"originating within the organism or cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
endolithic,,"living within rock or shells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
endophyte,,"an organism living within the tissues of a host plant. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
endophyte ,endophytic,"growing within the tissues or sheath of an alga. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endophytic,,"growing within a plant; cf. semi-endophytic; epiphytic (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
endoplasmic reticulum,,"an extensive system of membranes in eukaryotic cells, dividing the cytoplasm into compartments and channels; those parts containing many ribosomes are called 'rough er' and those lacking ribosomes are called 'smooth er' (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
endopolyploidy,,"becoming diploid or polyploid without syngamy, usually by failure of nuclei to separate after dna replication. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
endosporangium,,"a sporangium containing irregularly arranged spores of indefinite number (guiry 1990) encased in a distinct envelope, formed by mitotic division of a blade cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
endosporangium ,endosporangia,"a sporangium with spores indefinite in number in a distinct envelope formed by mitotic division of a cell. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endospores,,"an asexual reproductive unit formed inside a parent cell by mitotic division of the protoplast. endozoic. growing within the cells or tissues of an animal. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
endosporic,,"formation of spores within the sporangium wall. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
endozoic,,"living within an animal but not parasitic. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ensiform,,"shaped like a broadsword. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
entire,,"without lobes, divisions, or proliferations; having undivided margins. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
entwined,,"entangled or intermixed. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
enveloping filaments,,"filaments surrounding a gonimoblast. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ephemeral,,"short-lived. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
epidermis,,"outermost cell layer of a complex thalli (e.g., kelps). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
epilithic,,"growing attached to an inorganic substratum (rock, stones etc.) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
epiphyte ,epiphytic,"growing on another alga, but not parasitic. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
epiphytic,,"growing on the surface of a plant; cf. endophytic (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
epithallial cell,,"a cell formed outwardly from either a basal cell or a subepithallial initial (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
epithallus ,epithallium,"in crustose algae, the uppermost layer; also a surface tissue produced outwardly by an intercalary meristem. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
epithet,,"a word added to a genus name to create a species name (binomial); the process can be repeated to create a varietal name, etc., e.g. erythropeltis discigera (species), erythropeltis discigera var. flustrae (variety). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
epizoic,,"growing on animal substrata such as shells (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
erect,,"growing upwards away from substratum. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
erect filament,,"filament derived from, and more or less at right angles to, a basal filament (fig.2a); in dimerous plants (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
estipitate,,"lacking a stipe. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
eucaryotic ,eukaryotic,"organisms whose cells have distinct membrane-bounded nuclei or chloroplasts (in contrast to procaryotic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
eulittoral,,"the main intertidal zone between the sublittoral (usually dominated by large brown algae) and the littoral fringe (usually dominated by littorinid snails). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
euryhaline,,"tolerant to a wide range of salinities. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ex parte,,"a latin term meaning ""from (by or for) one (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
excrescence,,"a general term used for outgrowths such as lamellae, protuberances, etc. (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
exogenous,,"formed at the surface or arising externally. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
exserted,,"projecting beyond a usual containing structure (included). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
exsiccate ,exsiccatae,"dried and preserved specimens of seaweeds. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
eyespot,,"an orange-red pigmented spot found in some motile cells; it contains hematochrome and is usually associated with a plastid. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
facultative,,"not necessarily taking place; not a requirement. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
falcate,,"sickle-shaped or curved and tapering from a broad base. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
false hairs,,"hair-like, tapering, extensions of filaments (e.g. in the ectocarpaceae) with almost colourless cells and without a basal meristem (c.f phaeophycean hairs). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
family,,"the principal category between order and genus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fasciated,,"coalescent; e.g. of branch systems in lithothamnion corallioides (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
fascicle,,"a cluster or bundle, with the parts sub-parallel. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
fascicle ,fasciculate,"a cluster or tuft ofbranches (branchlets) that arise near the same area on an axis; also, a dense cluster of erect axes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fasciculate,,"forming a dense cluster or bundle; said of filaments or branches. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
fastigiate,,"with conical or tapering outline (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
fenestrate,,"having perforations or transparent areas; window-like. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fertile,,"bearing reproductive structures. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
filament,,"a row of cells joined by primary pit connections (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
filament ,filamentous,"a branched or unbranched row of cells joined end to end; constructed of filaments. filiform. thread-like, slender, cylindrical, or resembling a filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
filamentous,,"slender or thread-like, uniseriate to multiseriate. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
filiform,,"thread-like, but thicker than above. (up to 5 mm wide in this key.) (source: Hiscock Brown)."
fimbria ,fimbriae,"a bordering fringe. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fimbriate,,"with a fringed edge or margin. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
fistulose ,fistulous,"hollow and cylindrical thalli. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
flabellate,,"fan-like and spreading from a narrow base, or wedge-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
